ID,state
302,RSK -- cMYC -- TCF -- CCND1
303,RSK -- cMYC -- TCF -- CCND1
304,RSK -- cMYC -- TCF -- CCND1
305,RSK -- cMYC -- TCF -- CCND1
306,RSK -- cMYC -- TCF -- CCND1
307,RSK -- cMYC -- TCF -- CCND1
308,RSK -- cMYC -- TCF -- CCND1
309,RSK -- cMYC -- TCF -- CCND1
310,RSK -- cMYC -- TCF -- CCND1
311,RSK -- cMYC -- TCF -- CCND1
312,RSK -- cMYC -- TCF -- CCND1
313,RSK -- cMYC -- TCF -- CCND1
314,RSK -- cMYC -- TCF -- CCND1
315,RSK -- cMYC -- TCF -- CCND1
316,RSK -- cMYC -- TCF -- CCND1
317,RSK -- cMYC -- TCF -- CCND1
318,RSK -- cMYC -- TCF -- CCND1
319,RSK -- cMYC -- TCF -- CCND1
320,RSK -- cMYC -- TCF -- CCND1
321,RSK -- cMYC -- TCF -- CCND1
322,RSK -- cMYC -- TCF -- CCND1
323,RSK -- cMYC -- TCF -- CCND1
324,RSK -- cMYC -- TCF -- CCND1
325,RSK -- cMYC -- TCF -- CCND1
326,RSK -- cMYC -- TCF -- CCND1
327,RSK -- cMYC -- TCF -- CCND1
328,RSK -- cMYC -- TCF -- CCND1
329,RSK -- cMYC -- TCF -- CCND1
330,RSK -- cMYC -- TCF -- CCND1
331,RSK -- cMYC -- TCF -- CCND1
332,RSK -- cMYC -- TCF -- CCND1
333,RSK -- cMYC -- TCF -- CCND1
334,RSK -- cMYC -- TCF -- CCND1
335,RSK -- cMYC -- TCF -- CCND1
336,RSK -- cMYC -- TCF -- CCND1
337,RSK -- cMYC -- TCF -- CCND1
338,RSK -- cMYC -- TCF -- CCND1
339,RSK -- cMYC -- TCF -- CCND1
340,RSK -- cMYC -- TCF -- CCND1
341,RSK -- cMYC -- TCF -- CCND1
342,RSK -- cMYC -- TCF -- CCND1
343,RSK -- cMYC -- TCF -- CCND1
344,RSK -- cMYC -- TCF -- CCND1
345,RSK -- cMYC -- TCF -- CCND1
346,RSK -- cMYC -- TCF -- CCND1
347,RSK -- cMYC -- TCF -- CCND1
348,RSK -- cMYC -- TCF -- CCND1
349,RSK -- cMYC -- TCF -- CCND1
350,RSK -- cMYC -- TCF -- CCND1
351,RSK -- cMYC -- TCF -- CCND1
352,RSK -- cMYC -- TCF -- CCND1
353,RSK -- cMYC -- TCF -- CCND1
354,RSK -- cMYC -- TCF -- CCND1
355,RSK -- cMYC -- TCF -- CCND1
356,RSK -- cMYC -- TCF -- CCND1
357,RSK -- cMYC -- TCF -- CCND1
358,RSK -- cMYC -- TCF -- CCND1
359,RSK -- cMYC -- TCF -- CCND1
360,RSK -- cMYC -- TCF -- CCND1
361,RSK -- cMYC -- TCF -- CCND1
362,RSK -- cMYC -- TCF -- CCND1
363,RSK -- cMYC -- TCF -- CCND1
364,RSK -- cMYC -- TCF -- CCND1
365,RSK -- cMYC -- TCF -- CCND1
366,RSK -- cMYC -- TCF -- CCND1
367,RSK -- cMYC -- TCF -- CCND1
368,RSK -- cMYC -- TCF -- CCND1
369,RSK -- cMYC -- TCF -- CCND1
370,RSK -- cMYC -- TCF -- CCND1
371,RSK -- cMYC -- TCF -- CCND1
372,RSK -- cMYC -- TCF -- CCND1
373,RSK -- cMYC -- TCF -- CCND1
374,RSK -- cMYC -- TCF -- CCND1
375,RSK -- cMYC -- TCF -- CCND1
376,RSK -- cMYC -- TCF -- CCND1
377,RSK -- cMYC -- TCF -- CCND1
378,RSK -- cMYC -- TCF -- CCND1
379,RSK -- cMYC -- TCF -- CCND1
380,RSK -- cMYC -- TCF -- CCND1
381,RSK -- cMYC -- TCF -- CCND1
382,RSK -- cMYC -- TCF -- CCND1
383,RSK -- cMYC -- TCF -- CCND1
384,RSK -- cMYC -- TCF -- CCND1
385,RSK -- cMYC -- TCF -- CCND1
386,RSK -- cMYC -- TCF -- CCND1
387,RSK -- cMYC -- TCF -- CCND1
388,RSK -- cMYC -- TCF -- CCND1
389,RSK -- cMYC -- TCF -- CCND1
390,RSK -- cMYC -- TCF -- CCND1
391,RSK -- cMYC -- TCF -- CCND1
392,RSK -- cMYC -- TCF -- CCND1
393,RSK -- cMYC -- TCF -- CCND1
394,RSK -- cMYC -- TCF -- CCND1
395,RSK -- cMYC -- TCF -- CCND1
396,RSK -- cMYC -- TCF -- CCND1
397,RSK -- cMYC -- TCF -- CCND1
398,RSK -- cMYC -- TCF -- CCND1
399,RSK -- cMYC -- TCF -- CCND1
400,RSK -- cMYC -- TCF -- CCND1
401,RSK -- cMYC -- TCF -- CCND1
402,RSK -- cMYC -- TCF -- CCND1
403,RSK -- cMYC -- TCF -- CCND1
404,RSK -- cMYC -- TCF -- CCND1
405,RSK -- cMYC -- TCF -- CCND1
406,RSK -- cMYC -- TCF -- CCND1
407,RSK -- cMYC -- TCF -- CCND1
408,RSK -- cMYC -- TCF -- CCND1
409,RSK -- cMYC -- TCF -- CCND1
410,RSK -- cMYC -- TCF -- CCND1
411,RSK -- cMYC -- TCF -- CCND1
412,RSK -- cMYC -- TCF -- CCND1
413,RSK -- cMYC -- TCF -- CCND1
414,RSK -- cMYC -- TCF -- CCND1
415,RSK -- cMYC -- TCF -- CCND1
416,RSK -- cMYC -- TCF -- CCND1
417,RSK -- cMYC -- TCF -- CCND1
418,RSK -- cMYC -- TCF -- CCND1
419,RSK -- cMYC -- TCF -- CCND1
420,RSK -- cMYC -- TCF -- CCND1
421,RSK -- cMYC -- TCF -- CCND1
422,RSK -- cMYC -- TCF -- CCND1
423,RSK -- cMYC -- TCF -- CCND1
424,RSK -- cMYC -- TCF -- CCND1
425,RSK -- cMYC -- TCF -- CCND1
426,RSK -- cMYC -- TCF -- CCND1
427,RSK -- cMYC -- TCF -- CCND1
428,RSK -- cMYC -- TCF -- CCND1
429,RSK -- cMYC -- TCF -- CCND1
430,RSK -- cMYC -- TCF -- CCND1
431,RSK -- cMYC -- TCF -- CCND1
432,RSK -- cMYC -- TCF -- CCND1
433,RSK -- cMYC -- TCF -- CCND1
434,RSK -- cMYC -- TCF -- CCND1
435,RSK -- cMYC -- TCF -- CCND1
436,RSK -- cMYC -- TCF -- CCND1
437,RSK -- cMYC -- TCF -- CCND1
438,RSK -- cMYC -- TCF -- CCND1
439,RSK -- cMYC -- TCF -- CCND1
440,RSK -- cMYC -- TCF -- CCND1
441,RSK -- cMYC -- TCF -- CCND1
442,RSK -- cMYC -- TCF -- CCND1
443,RSK -- cMYC -- TCF -- CCND1
444,RSK -- cMYC -- TCF -- CCND1
445,RSK -- cMYC -- TCF -- CCND1
446,RSK -- cMYC -- TCF -- CCND1
447,RSK -- cMYC -- TCF -- CCND1
448,RSK -- cMYC -- TCF -- CCND1
449,RSK -- cMYC -- TCF -- CCND1
450,RSK -- cMYC -- TCF -- CCND1
451,RSK -- cMYC -- TCF -- CCND1
452,RSK -- cMYC -- TCF -- CCND1
