x,y,z,type
70,-290,-30,0
70,-270,-30,0
70,-250,-30,0
70,-230,-30,0
70,-210,-30,0
70,-190,-30,0
70,-170,-30,0
70,-150,-30,0
70,-130,-30,0
70,-110,-30,0
70,-90,-30,0
70,-70,-30,0
70,-50,-30,0
70,-30,-30,0
70,-10,-30,0
70,10,-30,0
70,30,-30,0
70,50,-30,0
70,70,-30,0
70,90,-30,0
70,110,-30,0
70,130,-30,0
70,150,-30,0
70,170,-30,0
70,190,-30,0
70,210,-30,0
70,230,-30,0
70,250,-30,0
70,270,-30,0
70,290,-30,0
70,310,-30,0
70,330,-30,0
90,-330,-30,0
90,-310,-30,0
90,-290,-30,0
90,-270,-30,0
90,-250,-30,0
90,-230,-30,0
90,-210,-30,0
90,-190,-30,0
90,-170,-30,0
90,-150,-30,0
90,-130,-30,0
90,-110,-30,0
90,-90,-30,0
90,-70,-30,0
90,-50,-30,0
90,-30,-30,0
90,-10,-30,0
90,10,-30,0
90,30,-30,0
90,50,-30,0
90,70,-30,0
90,90,-30,0
90,110,-30,0
90,130,-30,0
90,150,-30,0
90,170,-30,0
90,190,-30,0
90,210,-30,0
90,230,-30,0
90,250,-30,0
90,270,-30,0
90,290,-30,0
90,310,-30,0
90,330,-30,0
110,-330,-30,0
110,-310,-30,0
110,-290,-30,0
110,-270,-30,0
110,-250,-30,0
110,-230,-30,0
110,-210,-30,0
110,-190,-30,0
110,-170,-30,0
110,-150,-30,0
110,-130,-30,0
110,-110,-30,0
110,-90,-30,0
110,-70,-30,0
110,-50,-30,0
110,-30,-30,0
110,-10,-30,0
110,10,-30,0
110,30,-30,0
110,50,-30,0
110,70,-30,0
110,90,-30,0
110,110,-30,0
110,130,-30,0
110,150,-30,0
110,170,-30,0
110,190,-30,0
110,210,-30,0
110,230,-30,0
110,250,-30,0
110,270,-30,0
110,290,-30,0
110,310,-30,0
110,330,-30,0
130,-330,-30,0
130,-310,-30,0
130,-290,-30,0
130,-270,-30,0
130,-250,-30,0
130,-230,-30,0
130,-210,-30,0
130,-190,-30,0
130,-170,-30,0
130,-150,-30,0
130,-130,-30,0
130,-110,-30,0
130,-90,-30,0
130,-70,-30,0
130,-50,-30,0
130,-30,-30,0
